Business Name,Type,City,State,Contact Approach,Estimated Value,Priority,Notes
The Daily Grind,Cafe,Indianapolis,IN,Instagram DM + Email,$497,High,Very active on IG but only posts there
Bella's Bistro,Restaurant,Carmel,IN,Cold Email,$697,Medium,Multiple locations potential
Urban Coffee House,Cafe,Fishers,IN,Referral from Daily Grind,$497,High,Friend of existing client
Perk Up Cafe,Cafe,Zionsville,IN,LinkedIn,$497,Medium,Owner active on LinkedIn
The Breakfast Club,Restaurant,Indianapolis,IN,Cold Email,$697,High,Posts daily but manually
Java Junction,Cafe,Westfield,IN,Instagram DM,$497,High,Great content poor distribution
Mama's Kitchen,Restaurant,Noblesville,IN,Facebook Message,$497,Medium,Very active on Facebook only
The Coffee Bean,Cafe,Greenwood,IN,Cold Email,$497,Low,Smaller operation
Sunrise Bakery,Bakery,Indianapolis,IN,Walk-in + Email,$697,High,Amazing product photos
The Local Table,Restaurant,Broad Ripple,IN,Instagram DM,$697,High,Trendy spot needs reach
Brew & Chew,Cafe,Downtown Indy,IN,LinkedIn,$497,Medium,Corporate crowd
Garden Cafe,Cafe,Avon,IN,Cold Email,$497,Low,Suburban location
The Roasted Bean,Cafe,Plainfield,IN,Facebook Ad Target,$497,Medium,Responds to ads
Artisan Breads,Bakery,Indianapolis,IN,Referral,$697,High,High-end clientele
Coffee Culture,Cafe,Bloomington,IN,Cold Email,$497,High,College town opportunity
The Morning Fix,Cafe,Lafayette,IN,Instagram DM,$497,Medium,Student market
Riverside Grill,Restaurant,Fort Wayne,IN,LinkedIn,$697,Medium,Business dining
The Cozy Cup,Cafe,Muncie,IN,Cold Email,$497,Low,Small market
Fresh Bites,Restaurant,Terre Haute,IN,Facebook Message,$497,Medium,Family restaurant
The Grind House,Cafe,Columbus,IN,Instagram DM,$497,High,Artistic community
Sweet Dreams Bakery,Bakery,Richmond,IN,Cold Email,$697,Medium,Wedding market
The Local Roast,Cafe,Kokomo,IN,Walk-in,$497,Low,Personal visit planned
Blue Door Cafe,Cafe,Nashville,TN,Cold Email,$497,High,Expanding market
The Southern Table,Restaurant,Memphis,TN,LinkedIn,$697,High,Tourism focus
Music City Coffee,Cafe,Nashville,TN,Instagram DM,$497,High,Entertainment district
Beale Street Eats,Restaurant,Memphis,TN,Facebook Message,$697,Medium,Tourist heavy
The Nash Cafe,Cafe,Franklin,TN,Referral,$497,High,Suburban growth
Riverfront Dining,Restaurant,Chattanooga,TN,Cold Email,$697,Medium,Scenic location
The Bean Counter,Cafe,Knoxville,TN,Instagram DM,$497,Medium,University area
Smoky Mountain Coffee,Cafe,Gatlinburg,TN,LinkedIn,$497,High,Tourist destination
Chicago Grind,Cafe,Chicago,IL,Cold Email,$497,High,Dense market
The Loop Cafe,Cafe,Chicago,IL,Instagram DM,$497,High,Downtown location
Windy City Eats,Restaurant,Chicago,IL,LinkedIn,$697,High,Business district
Milwaukee's Best Coffee,Cafe,Milwaukee,WI,Cold Email,$497,Medium,Growing market
Cream City Cafe,Cafe,Milwaukee,WI,Facebook Message,$497,Medium,Local favorite
Detroit Beans,Cafe,Detroit,MI,Instagram DM,$497,High,Revitalizing area
Motor City Meals,Restaurant,Detroit,MI,LinkedIn,$697,Medium,Business growth
Cincinnati Coffee Co,Cafe,Cincinnati,OH,Cold Email,$497,Medium,Ohio market
Queen City Cafe,Cafe,Cincinnati,OH,Instagram DM,$497,Medium,Urban renewal
Cleveland Rocks Coffee,Cafe,Cleveland,OH,Facebook Message,$497,High,Sports district
Columbus Roasters,Cafe,Columbus,OH,LinkedIn,$497,High,State capital
Louisville Latte,Cafe,Louisville,KY,Cold Email,$497,Medium,Derby city
Bourbon Street Cafe,Cafe,Lexington,KY,Instagram DM,$497,Medium,College town
St. Louis Sips,Cafe,St. Louis,MO,LinkedIn,$497,High,Arch area
Kansas City Coffee,Cafe,Kansas City,MO,Cold Email,$497,Medium,BBQ country
Minneapolis Mocha,Cafe,Minneapolis,MN,Instagram DM,$497,High,Twin cities
St. Paul Perk,Cafe,St. Paul,MN,Facebook Message,$497,Medium,Government district
Des Moines Daily,Cafe,Des Moines,IA,LinkedIn,$497,Low,Insurance capital
Omaha's Own,Cafe,Omaha,NE,Cold Email,$497,Low,Midwest market
